Date,Q_DET_SWG,Q_DET_GEN,Q_DET_LRO,Q_DET_URO,DET_QTot,Q_BCL_GEN,Q_BCL_SWG,BCL_QTot,DET_TDG,BCL1_TDG,BCL2_TDG,BCLO_TDG
2024-03-30T09:00:00-0700,0,4620.00000017516,0,0,4620.00000017516,1770.00000007628,0,1770.00000007628,102.564102564103,101.648351648352,101.785714285714,101.373626373626
2024-03-30T10:00:00-0700,0,250.000000070629,0,0,250.000000070629,1779.99999986722,0,1779.99999986722,103.253377446926,101.785714285714,102.06043956044,101.373626373626
2024-03-30T11:00:00-0700,0,0,0,0,0,1770.00000007628,0,1770.00000007628,104.080507306314,101.923076923077,102.335164835165,101.510989010989
2024-03-30T12:00:00-0700,0,0,0,0,0,1750.00000014126,0,1750.00000014126,105.045492142266,102.197802197802,102.472527472527,101.785714285714
2024-03-30T13:00:00-0700,0,0,0,0,0,1770.00000007628,0,1770.00000007628,106.010476978219,102.335164835165,102.60989010989,101.923076923077
2024-03-30T14:00:00-0700,0,0,0,0,0,1750.00000014126,0,1750.00000014126,106.975461814171,102.335164835165,102.60989010989,102.06043956044
2024-03-30T15:00:00-0700,0,0,0,0,0,1750.00000014126,0,1750.00000014126,107.951408061844,102.475928473177,102.751031636864,102.200825309491
2024-03-30T16:00:00-0700,0,0,0,0,0,1750.00000014126,0,1750.00000014126,108.089453340696,102.338376891334,102.613480055021,102.200825309491
2024-03-30T17:00:00-0700,0,0,0,0,0,1739.99999999717,0,1739.99999999717,102.294719380702,102.479338842975,102.617079889807,102.341597796143
2024-03-30T18:00:00-0700,0,280.000000149734,0,0,280.000000149734,1720.00000006215,0,1720.00000006215,101.050594415261,102.341597796143,102.617079889807,102.341597796143
2024-03-30T19:00:00-0700,0,4699.99999991525,0,0,4699.99999991525,1729.99999985309,0,1729.99999985309,101.87741579238,102.200825309491,102.200825309491,102.063273727648
2024-03-30T20:00:00-0700,0,4869.99999989264,0,0,4869.99999989264,1750.00000014126,0,1750.00000014126,102.291551628934,102.063273727648,102.063273727648,101.925722145805
2024-03-30T21:00:00-0700,0,4849.99999995762,0,0,4849.99999995762,1779.99999986722,0,1779.99999986722,102.288392610973,101.923076923077,101.923076923077,101.648351648352
2024-03-30T22:00:00-0700,0,4849.99999995762,0,0,4849.99999995762,1790.0000000113,0,1790.0000000113,102.288392610973,101.923076923077,101.923076923077,101.648351648352
2024-03-30T23:00:00-0700,0,4599.99999988699,0,0,4599.99999988699,1800.00000015538,0,1800.00000015538,102.426247587538,102.06043956044,101.923076923077,101.648351648352
2024-03-31T00:00:00-0700,0,189.99999991242,0,0,189.99999991242,1790.0000000113,0,1790.0000000113,102.426247587538,102.06043956044,102.06043956044,101.510989010989
2024-03-31T01:00:00-0700,0,0,0,0,0,1800.00000015538,0,1800.00000015538,102.422907488987,102.057613168724,101.920438957476,101.371742112483
2024-03-31T02:00:00-0700,0,0,0,0,0,1790.0000000113,0,1790.0000000113,103.111233480176,102.057613168724,101.920438957476,101.508916323731
2024-03-31T03:00:00-0700,0,0,0,0,0,1779.99999986722,0,1779.99999986722,103.52422907489,102.057613168724,101.920438957476,101.508916323731
2024-03-31T04:00:00-0700,0,0,0,0,0,1770.00000007628,0,1770.00000007628,103.799559471366,102.057613168724,101.920438957476,101.508916323731
2024-03-31T05:00:00-0700,0,0,0,0,0,1750.00000014126,0,1750.00000014126,103.799559471366,102.194787379973,102.057613168724,101.508916323731
2024-03-31T06:00:00-0700,0,270.00000000565,0,0,270.00000000565,1750.00000014126,0,1750.00000014126,103.661894273128,102.194787379973,102.057613168724,101.508916323731
2024-03-31T07:00:00-0700,0,4660.0000000452,0,0,4660.0000000452,1750.00000014126,0,1750.00000014126,102.973568281938,102.331961591221,102.057613168724,101.508916323731
2024-03-31T08:00:00-0700,0,4799.9999999435,0,0,4799.9999999435,1770.00000007628,0,1770.00000007628,102.282100632389,102.191780821918,102.054794520548,101.506849315069
2024-03-31T09:00:00-0700,0,4549.99999987287,0,0,4549.99999987287,1790.0000000113,0,1790.0000000113,102.144624690679,102.191780821918,102.191780821918,101.506849315069
2024-03-31T10:00:00-0700,0,230.000000135608,0,0,230.000000135608,1800.00000015538,0,1800.00000015538,102.55705251581,102.191780821918,102.465753424658,101.643835616438
